Timestamp (s), Actor Name
135.80, dataset_images\Govinda\Govinda1
136.00, dataset_images\Govinda\Govinda1
136.20, dataset_images\Govinda\Govinda1
136.40, dataset_images\Govinda\Govinda1
136.60, dataset_images\Govinda\Govinda1
136.80, dataset_images\Govinda\Govinda1
137.80, dataset_images\Govinda\Govinda1
138.00, dataset_images\Govinda\Govinda1
138.20, dataset_images\Govinda\Govinda1
138.60, dataset_images\Govinda\Govinda1
138.80, dataset_images\Govinda\Govinda1
139.00, dataset_images\Govinda\Govinda1
139.20, dataset_images\Govinda\Govinda1
139.40, dataset_images\Govinda\Govinda1
139.60, dataset_images\Govinda\Govinda1
140.00, dataset_images\Govinda\Govinda1
140.20, dataset_images\Govinda\Govinda1
140.40, dataset_images\Govinda\Govinda1
140.80, dataset_images\Govinda\Govinda1
141.00, dataset_images\Govinda\Govinda1
141.20, dataset_images\Govinda\Govinda1
141.40, dataset_images\Govinda\Govinda1
141.60, dataset_images\Govinda\Govinda1
141.80, dataset_images\Govinda\Govinda1
142.00, dataset_images\Govinda\Govinda1
142.40, dataset_images\Govinda\Govinda1
142.60, dataset_images\Govinda\Govinda1
142.80, dataset_images\Govinda\Govinda1
143.00, dataset_images\Govinda\Govinda1
143.20, dataset_images\Govinda\Govinda1
143.40, dataset_images\Govinda\Govinda1
143.60, dataset_images\Govinda\Govinda1
143.80, dataset_images\Govinda\Govinda1
144.00, dataset_images\Govinda\Govinda1
144.20, dataset_images\Govinda\Govinda1
144.40, dataset_images\Govinda\Govinda1
144.60, dataset_images\Govinda\Govinda1
144.80, dataset_images\Govinda\Govinda1
145.00, dataset_images\Govinda\Govinda1
145.20, dataset_images\Govinda\Govinda1
145.60, dataset_images\katrina_kaif\Katrina_Kaif
145.80, dataset_images\katrina_kaif\Katrina_Kaif
146.00, dataset_images\katrina_kaif\Katrina_Kaif
146.20, dataset_images\katrina_kaif\Katrina_Kaif
146.40, dataset_images\katrina_kaif\Katrina_Kaif
146.60, dataset_images\katrina_kaif\Katrina_Kaif
146.80, dataset_images\katrina_kaif\Katrina_Kaif
147.00, dataset_images\katrina_kaif\Katrina_Kaif
147.20, dataset_images\katrina_kaif\Katrina_Kaif
147.40, dataset_images\katrina_kaif\Katrina_Kaif
147.60, dataset_images\katrina_kaif\Katrina_Kaif
147.80, dataset_images\katrina_kaif\Katrina_Kaif
148.00, dataset_images\katrina_kaif\Katrina_Kaif
148.20, dataset_images\katrina_kaif\Katrina_Kaif
148.40, dataset_images\katrina_kaif\Katrina_Kaif
148.60, dataset_images\katrina_kaif\Katrina_Kaif
148.80, dataset_images\katrina_kaif\Katrina_Kaif
149.00, dataset_images\katrina_kaif\Katrina_Kaif
149.20, dataset_images\katrina_kaif\Katrina_Kaif
149.40, dataset_images\katrina_kaif\Katrina_Kaif
149.60, dataset_images\katrina_kaif\Katrina_Kaif
149.80, dataset_images\katrina_kaif\Katrina_Kaif
150.00, dataset_images\katrina_kaif\Katrina_Kaif
150.20, dataset_images\katrina_kaif\Katrina_Kaif
150.40, dataset_images\katrina_kaif\Katrina_Kaif
150.60, dataset_images\katrina_kaif\Katrina_Kaif
150.80, dataset_images\katrina_kaif\Katrina_Kaif
151.00, dataset_images\katrina_kaif\Katrina_Kaif
151.20, dataset_images\katrina_kaif\Katrina_Kaif
152.40, dataset_images\Govinda\Govinda5
152.60, dataset_images\Govinda\Govinda5
152.80, dataset_images\Govinda\Govinda1
153.00, dataset_images\Govinda\Govinda5
153.20, dataset_images\Govinda\Govinda5
153.40, dataset_images\Govinda\Govinda5
153.60, dataset_images\Govinda\Govinda5
154.40, dataset_images\Govinda\Govinda1
155.00, dataset_images\Govinda\Govinda3
155.20, dataset_images\Govinda\Govinda3
155.40, dataset_images\Govinda\Govinda3
155.80, dataset_images\katrina_kaif\Katrina_Kaif
156.00, dataset_images\katrina_kaif\Katrina_Kaif
156.20, dataset_images\katrina_kaif\Katrina_Kaif
156.40, dataset_images\katrina_kaif\Katrina_Kaif
158.00, dataset_images\Govinda\Govinda1
163.20, dataset_images\katrina_kaif\Katrina_Kaif
163.40, dataset_images\katrina_kaif\Katrina_Kaif
163.60, dataset_images\katrina_kaif\Katrina_Kaif
163.80, dataset_images\katrina_kaif\Katrina_Kaif
164.00, dataset_images\katrina_kaif\Katrina_Kaif
164.40, dataset_images\katrina_kaif\Katrina_Kaif
164.60, dataset_images\katrina_kaif\Katrina_Kaif
165.00, dataset_images\katrina_kaif\Katrina_Kaif
165.20, dataset_images\katrina_kaif\Katrina_Kaif
165.60, dataset_images\katrina_kaif\Katrina_Kaif
165.80, dataset_images\katrina_kaif\Katrina_Kaif
166.00, dataset_images\katrina_kaif\Katrina_Kaif
166.40, dataset_images\katrina_kaif\Katrina_Kaif
166.60, dataset_images\katrina_kaif\Katrina_Kaif
166.80, dataset_images\katrina_kaif\Katrina_Kaif
167.20, dataset_images\katrina_kaif\Katrina_Kaif
167.40, dataset_images\katrina_kaif\Katrina_Kaif
167.60, dataset_images\katrina_kaif\Katrina_Kaif
167.80, dataset_images\katrina_kaif\Katrina_Kaif
168.20, dataset_images\katrina_kaif\Katrina_Kaif
168.40, dataset_images\katrina_kaif\Katrina_Kaif
168.60, dataset_images\katrina_kaif\Katrina_Kaif
168.80, dataset_images\katrina_kaif\Katrina_Kaif
169.00, dataset_images\katrina_kaif\Katrina_Kaif
169.20, dataset_images\katrina_kaif\Katrina_Kaif
170.80, dataset_images\Govinda\Govinda1
171.20, dataset_images\Govinda\Govinda1
171.40, dataset_images\Govinda\Govinda1
171.60, dataset_images\Govinda\Govinda1
171.80, dataset_images\Govinda\Govinda1
174.20, dataset_images\katrina_kaif\Katrina_Kaif
174.80, dataset_images\katrina_kaif\Katrina_Kaif
175.00, dataset_images\katrina_kaif\Katrina_Kaif
175.20, dataset_images\katrina_kaif\Katrina_Kaif
175.40, dataset_images\katrina_kaif\Katrina_Kaif
175.60, dataset_images\katrina_kaif\Katrina_Kaif
175.80, dataset_images\katrina_kaif\Katrina_Kaif
176.00, dataset_images\katrina_kaif\Katrina_Kaif
176.20, dataset_images\katrina_kaif\Katrina_Kaif
176.40, dataset_images\katrina_kaif\Katrina_Kaif
176.60, dataset_images\katrina_kaif\Katrina_Kaif
176.80, dataset_images\katrina_kaif\Katrina_Kaif
177.00, dataset_images\katrina_kaif\Katrina_Kaif
177.20, dataset_images\katrina_kaif\Katrina_Kaif
177.80, dataset_images\katrina_kaif\Katrina_Kaif
178.00, dataset_images\katrina_kaif\Katrina_Kaif
178.20, dataset_images\katrina_kaif\Katrina_Kaif
178.40, dataset_images\katrina_kaif\Katrina_Kaif
178.60, dataset_images\katrina_kaif\Katrina_Kaif
178.80, dataset_images\katrina_kaif\Katrina_Kaif
179.00, dataset_images\katrina_kaif\Katrina_Kaif
179.20, dataset_images\katrina_kaif\Katrina_Kaif
179.40, dataset_images\katrina_kaif\Katrina_Kaif
179.60, dataset_images\katrina_kaif\Katrina_Kaif
179.80, dataset_images\katrina_kaif\Katrina_Kaif
180.00, dataset_images\katrina_kaif\Katrina_Kaif
180.20, dataset_images\katrina_kaif\Katrina_Kaif
180.40, dataset_images\katrina_kaif\Katrina_Kaif
180.60, dataset_images\katrina_kaif\Katrina_Kaif
180.80, dataset_images\katrina_kaif\Katrina_Kaif
181.00, dataset_images\katrina_kaif\Katrina_Kaif
181.20, dataset_images\katrina_kaif\Katrina_Kaif
181.40, dataset_images\katrina_kaif\Katrina_Kaif
181.60, dataset_images\Govinda\Govinda1
181.80, dataset_images\Govinda\Govinda1
182.00, dataset_images\Govinda\Govinda1
182.20, dataset_images\Govinda\Govinda1
182.40, dataset_images\Govinda\Govinda1
182.60, dataset_images\Govinda\Govinda1
182.80, dataset_images\Govinda\Govinda3
183.00, dataset_images\Govinda\Govinda5
183.20, dataset_images\Govinda\Govinda1
183.40, dataset_images\Govinda\Govinda1
183.60, dataset_images\Govinda\Govinda1
183.80, dataset_images\Govinda\Govinda1
184.00, dataset_images\Govinda\Govinda1
184.40, dataset_images\Govinda\Govinda1
185.40, dataset_images\katrina_kaif\Katrina_Kaif
185.60, dataset_images\katrina_kaif\Katrina_Kaif
185.80, dataset_images\katrina_kaif\Katrina_Kaif
186.00, dataset_images\tabu\Tabu
186.20, dataset_images\katrina_kaif\Katrina_Kaif
186.40, dataset_images\katrina_kaif\Katrina_Kaif
186.60, dataset_images\katrina_kaif\Katrina_Kaif
186.80, dataset_images\katrina_kaif\Katrina_Kaif
187.00, dataset_images\katrina_kaif\Katrina_Kaif
187.20, dataset_images\katrina_kaif\Katrina_Kaif
187.40, dataset_images\katrina_kaif\Katrina_Kaif
187.60, dataset_images\katrina_kaif\Katrina_Kaif
187.80, dataset_images\katrina_kaif\Katrina_Kaif
188.00, dataset_images\katrina_kaif\Katrina_Kaif
188.20, dataset_images\katrina_kaif\Katrina_Kaif
